weighted portfolio variance,weighted portfolio returns
0.034225,0.160422
0.037881,0.214585
0.025281,0.172376
0.035098,0.219272
0.037366,0.212379
0.043915,0.224823
0.028853,0.174297
0.033302,0.212950
0.031533,0.157950
0.027143,0.178762
0.044883,0.228788
0.033681,0.202406
0.043751,0.220597
0.017938,0.175302
0.024816,0.198060
0.027947,0.190868
0.022949,0.209940
0.024017,0.218443
0.045846,0.225976
0.026748,0.239371
0.023528,0.196275
0.034656,0.221285
0.021578,0.201367
0.020313,0.191680
0.019066,0.175080
0.025755,0.195091
0.040827,0.226367
0.033726,0.150836
0.036540,0.208259
0.046856,0.227592
0.019897,0.199344
0.039555,0.221984
0.027077,0.220105
0.034418,0.227065
0.034835,0.212050
0.024607,0.191762
0.018516,0.185527
0.030016,0.233890
0.028735,0.181346
0.039530,0.216838
0.033993,0.218669
0.034959,0.142323
0.022022,0.159457
0.027039,0.190171
0.024444,0.219365
0.021033,0.196496
0.021187,0.205321
0.039739,0.220560
0.042398,0.225840
0.047013,0.228835
0.044212,0.222495
0.024952,0.214035
0.032705,0.159896
0.021559,0.190547
0.027495,0.219902
0.039449,0.226932
0.037507,0.217482
0.027431,0.225059
0.023827,0.199629
0.023016,0.208549
0.030468,0.201543
0.019646,0.182699
0.035156,0.220302
0.050173,0.231273
0.027457,0.221754
0.044587,0.225724
0.024179,0.187013
0.033713,0.220186
0.028627,0.220075
0.031214,0.220250
0.035192,0.142543
0.023959,0.165890
0.026490,0.200071
0.022920,0.210162
0.039799,0.129953
0.027634,0.213421
0.047134,0.226716
0.022973,0.176708
0.018094,0.175544
0.029319,0.224255
0.033142,0.154289
0.021544,0.167281
0.029232,0.200365
0.048716,0.229515
0.022072,0.178620
0.026945,0.219527
0.033213,0.157564
0.021272,0.199333
0.026908,0.215490
0.029491,0.163435
0.021812,0.189613
0.042899,0.226493
0.039981,0.213516
0.042098,0.226373
0.029387,0.206987
0.035370,0.150480
0.019415,0.187805
0.031885,0.147394
0.036940,0.219048
0.040708,0.225750
0.052113,0.122154
0.050478,0.231511
0.022183,0.164643
0.049131,0.229478
0.027219,0.199865
0.022233,0.184029
0.033207,0.140485
0.029740,0.184075
0.018399,0.198217
0.029308,0.228495
0.025415,0.188423
0.041827,0.223525
0.039130,0.137193
0.048260,0.229703
0.045999,0.225739
0.020840,0.199300
0.031674,0.195707
0.026990,0.185364
0.025823,0.154855
0.032803,0.213194
0.022598,0.191314
0.031436,0.203587
0.051737,0.123131
0.029274,0.214098
0.026091,0.160543
0.030427,0.200708
0.046996,0.232530
0.020103,0.169471
0.021593,0.171041
0.046846,0.234456
0.018118,0.187150
0.031820,0.214767
0.027099,0.203224
0.020226,0.197108
0.020647,0.199301
0.025980,0.158455
0.021380,0.186065
0.028551,0.175625
0.033452,0.261940
0.019269,0.196026
0.018791,0.174402
0.044853,0.228431
0.047473,0.129780
0.020016,0.193005
0.028958,0.220842
0.032939,0.208303
0.032202,0.231598
0.036963,0.144262
0.026498,0.211639
0.040758,0.225500
0.033591,0.201549
0.031626,0.194414
0.027216,0.153128
0.023283,0.203042
0.024584,0.184873
0.032180,0.207672
0.034475,0.206309
0.033072,0.145240
0.036704,0.209952
0.023886,0.215319
0.020582,0.189734
0.048502,0.229014
0.049582,0.230554
0.026961,0.188994
0.031100,0.166779
0.018166,0.192933
0.029517,0.194373
0.047646,0.227223
0.026849,0.154732
0.030228,0.171007
0.024155,0.210866
0.027845,0.149665
0.025909,0.170699
0.026336,0.186702
0.037962,0.218854
0.051230,0.231841
0.045776,0.225254
0.022511,0.203342
0.026880,0.203515
0.026863,0.225470
0.038598,0.222900
0.027177,0.185269
0.026814,0.215126
